"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"50-3032-1",50,3032,0,1,"Meganyctiphanes norvegica","ashPWW","3.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:110690","Meganyctiphanes norvegica (M. Sars, 1857)","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Meganyctiphanes norvegica","ash_pww_Mean","3.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2957-1",50,2957,0,1,"Pleuroncodes planipes","ashPWW","4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:392683","Pleuroncodes planipes Stimpson, 1860","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pleuroncodes planipes","ash_pww_Mean","4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2693-1",50,2693,0,1,"Acanthephyra purpurea","ashPWW","4.5","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107582","Acanthephyra purpurea A. Milne-Edwards, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Acanthephyra purpurea","ash_pww_Mean","4.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2846-1",50,2846,0,1,"Necora puber","ashPWW","7.7","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107398","Necora puber (Linnaeus, 1767)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Necora","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Necora puber","ash_pww_Mean","7.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2960-1",50,2960,0,1,"Polybius henslowii","ashPWW","8.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107399","Polybius henslowii Leach, 1820","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Polybius","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Polybius henslowii","ash_pww_Mean","8.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2868-1",50,2868,0,1,"Pachygrapsus marmoratus","ashPWW","14.4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107455","Pachygrapsus marmoratus (Fabricius, 1787)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","Pachygrapsus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pachygrapsus marmoratus","ash_pww_Mean","14.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-2526-1",64,2526,0,1,"Eukrohnia hamata","chitinPDW","0.1","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One year at Korsfjorden, Norway","Bamstedt1978","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:105416","Eukrohnia hamata (Möbius, 1875)","Species","Animalia","Chaetognatha","Sagittoidea","Phragmophora","Eukrohniidae","Eukrohnia","Chaetognath","literature",NA,"P. Pata","2023-06-28",1,"Eukrohnia hamata","chitin_pdw_Mean","0.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-2983-1",64,2983,0,1,"Sergestes","chitinPDW","3","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept at Gulf of Aden","Raymonth1967","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:106829","Sergestes H. Milne Edwards, 1830","Genus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes","chitin_pdw_Mean","3","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-2774-1",64,2774,0,1,"Gennadas propinquus","chitinPDW","5","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept at Gulf of Aden","Raymonth1967","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:377442","Gennadas propinquus Rathbun, 1906","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas clavicarpus","chitin_pdw_Mean","5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-2693-1",64,2693,0,1,"Acanthephyra purpurea","chitinPDW","6","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept at Gulf of Aden","Raymonth1967","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:107582","Acanthephyra purpurea A. Milne-Edwards, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Acanthephyra purpurea","chitin_pdw_Mean","6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-400-1",64,400,0,1,"Aetideopsis armata","chitinPDW","7","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One year at Korsfjorden, Norway","Bamstedt1978b","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:104267","Aetideopsis armata (Boeck, 1872)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Aetideidae","Aetideopsis","Calanoid","literature",NA,"P. Pata","2023-06-28",1,"Chiridius armatus","chitin_pdw_Mean","7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"64-3606-1",64,3606,0,1,"Neomysis integer","chitinPDW","7.1","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May-Mar in Southampton waters","Raymont1964","Omori1984",NA,NA,"urn:lsid:marinespecies.org:taxname:120136","Neomysis integer (Leach, 1814)","Species","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Neomysis","Mysid","literature",NA,"P. Pata","2023-06-28",1,"Neomysis integer","chitin_pdw_Mean","7.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2776-1",60,2776,0,1,"Gennadas valens","proteinPAFDW","54","percent","numeric",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107098","Gennadas valens (Smith, 1884)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas valens","protein_pafdw_Mean","54","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2743-1",60,2743,0,1,"Deosergestes henseni","proteinPAFDW","53.9","percent","numeric",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514121","Deosergestes henseni (Ortmann, 1893)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Deosergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes henseni","protein_pafdw_Mean","53.9","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2744-1",60,2744,0,1,"Deosergestes paraseminudus","proteinPAFDW","53","percent","numeric",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514123","Deosergestes paraseminudus (Crosnier & Forest, 1973)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Deosergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes paraseminudus","protein_pafdw_Mean","53","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2938-1",60,2938,0,1,"Phorcosergia grandis","proteinPAFDW","54.6","percent","numeric",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1056510","Phorcosergia grandis (Sund, 1920)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Phorcosergia","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergia grandis","protein_pafdw_Mean","54.6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2972-1",60,2972,0,1,"Robustosergia robusta","proteinPAFDW","58.8","percent","numeric",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1056517","Robustosergia robusta (Smith, 1882)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Robustosergia","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergia robustus","protein_pafdw_Mean","58.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2693-1",60,2693,0,1,"Acanthephyra purpurea","proteinPAFDW","50.6","percent","numeric",NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107582","Acanthephyra purpurea A. Milne-Edwards, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Acanthephyra purpurea","protein_pafdw_Mean","50.6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2998-1",60,2998,0,1,"Systellaspis debilis","proteinPAFDW","48.4","percent","numeric",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107605","Systellaspis debilis (A. Milne-Edwards, 1881)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Systellaspis debilis","protein_pafdw_Mean","48.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2918-1",60,2918,0,1,"Pasiphaea merriami","proteinPAFDW","62.4","percent","numeric",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:421667","Pasiphaea merriami Schmitt, 1931","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pasiphaea merriami","protein_pafdw_Mean","62.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2910-1",60,2910,0,1,"Parapasiphae sulcatifrons","proteinPAFDW","30.4","percent","numeric",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107673","Parapasiphae sulcatifrons SI Smith, 1884","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Parapasiphaea sulcatifrons","protein_pafdw_Mean","30.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2774-1",60,2774,0,1,"Gennadas propinquus","proteinPAFDW","41.5","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:377442","Gennadas propinquus Rathbun, 1906","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas propinquus","protein_pafdw_Mean","41.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2759-1",60,2759,0,1,"Eusergestes similis","proteinPAFDW","53.4","percent","numeric",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514127","Eusergestes similis (Hansen, 1903)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Eusergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes similis","protein_pafdw_Mean","53.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2939-1",60,2939,0,1,"Phorcosergia phorca","proteinPAFDW","62.8","percent","numeric",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1056512","Phorcosergia phorca (Faxon, 1893)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Phorcosergia","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes phorcus","protein_pafdw_Mean","62.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2997-1",60,2997,0,1,"Systellaspis cristata","proteinPAFDW","35.8","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107604","Systellaspis cristata (Faxon, 1893)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Systellaspis cristata","protein_pafdw_Mean","35.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2916-1",60,2916,0,1,"Pasiphaea chacei","proteinPAFDW","60.5","percent","numeric",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514218","Pasiphaea chacei Yaldwyn, 1962","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pasiphaea chacei","protein_pafdw_Mean","60.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2917-1",60,2917,0,1,"Pasiphaea emarginata","proteinPAFDW","39.7","percent","numeric",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514223","Pasiphaea emarginata Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pasaphaea emarginata","protein_pafdw_Mean","39.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-3492-1",60,3492,0,1,"Boreomysis californica","proteinPAFDW","34.7","percent","numeric",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:226344","Boreomysis californica Ortmann, 1894","Species","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Boreomysis","Mysid","literature",NA,"P. Pata","2023-06-28",1,"Boreomysis californica","protein_pafdw_Mean","34.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-3023-1",60,3023,0,1,"Euphausia pacifica","proteinPAFDW","59.2","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:237851","Euphausia pacifica Hansen, 1911","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Euphausia pacifica","protein_pafdw_Mean","59.2","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2856-1",60,2856,0,1,"Notogennema kempi","proteinPAFDW","33.1","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Spring or summer","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1566089","Notogennema kempi (Stebbing, 1914)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Notogennema","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas kempi","protein_pafdw_Mean","33.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2934-1",60,2934,0,1,"Petalidium foliaceum","proteinPAFDW","38.8","percent","numeric",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Winter","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:369210","Petalidium foliaceum Spence Bate, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Petalidium","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Petalidium foliaceum","protein_pafdw_Mean","38.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-2850-1",60,2850,0,1,"Nematocarcinus lanceopes","proteinPAFDW","37.5","percent","numeric",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Spring or summer","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:369209","Nematocarcinus lanceopes Spence Bate, 1888","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Nematocarcinidae","Nematocarcinus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Nematocarcinus lanceopes","protein_pafdw_Mean","37.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-3496-1",60,3496,0,1,"Boreomysis rostrata","proteinPAFDW","40.8","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Winter","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:226891","Boreomysis rostrata Illig, 1906","Species","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Boreomysis","Mysid","literature",NA,"P. Pata","2023-06-28",1,"Boreomysis rostrata","protein_pafdw_Mean","40.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-3027-1",60,3027,0,1,"Euphausia triacantha","proteinPAFDW","43.1","percent","numeric",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Winter","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:236220","Euphausia triacantha Holt & Tattersall, 1906","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Euphausia triacantha","protein_pafdw_Mean","43.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"60-3055-1",60,3055,0,1,"Thysanoessa macrura","proteinPAFDW","35","percent","numeric",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,"Fall","Donnelly2004; Torres1994b","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:236219","Thysanoessa macrura G.O. Sars, 1883","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Thysanoessa macrura","protein_pafdw_Mean","35","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2776-1",55,2776,0,1,"Gennadas valens","lipidPAFDW","6.2","percent","numeric",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107098","Gennadas valens (Smith, 1884)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas valens","lipid_pafdw_Mean","6.2","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2743-1",55,2743,0,1,"Deosergestes henseni","lipidPAFDW","6.8","percent","numeric",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514121","Deosergestes henseni (Ortmann, 1893)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Deosergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes henseni","lipid_pafdw_Mean","6.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2744-1",55,2744,0,1,"Deosergestes paraseminudus","lipidPAFDW","6.6","percent","numeric",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514123","Deosergestes paraseminudus (Crosnier & Forest, 1973)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Deosergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes paraseminudus","lipid_pafdw_Mean","6.6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2938-1",55,2938,0,1,"Phorcosergia grandis","lipidPAFDW","6.2","percent","numeric",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1056510","Phorcosergia grandis (Sund, 1920)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Phorcosergia","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergia grandis","lipid_pafdw_Mean","6.2","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2972-1",55,2972,0,1,"Robustosergia robusta","lipidPAFDW","6.1","percent","numeric",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:1056517","Robustosergia robusta (Smith, 1882)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Robustosergia","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergia robustus","lipid_pafdw_Mean","6.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2693-1",55,2693,0,1,"Acanthephyra purpurea","lipidPAFDW","7.8","percent","numeric",NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107582","Acanthephyra purpurea A. Milne-Edwards, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Acanthephyra purpurea","lipid_pafdw_Mean","7.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2998-1",55,2998,0,1,"Systellaspis debilis","lipidPAFDW","9.2","percent","numeric",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107605","Systellaspis debilis (A. Milne-Edwards, 1881)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Systellaspis debilis","lipid_pafdw_Mean","9.2","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2918-1",55,2918,0,1,"Pasiphaea merriami","lipidPAFDW","6","percent","numeric",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:421667","Pasiphaea merriami Schmitt, 1931","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pasiphaea merriami","lipid_pafdw_Mean","6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2910-1",55,2910,0,1,"Parapasiphae sulcatifrons","lipidPAFDW","42","percent","numeric",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Gulf of Mexico",NA,NA,"","Donnelly1993","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:107673","Parapasiphae sulcatifrons SI Smith, 1884","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Parapasiphaea sulcatifrons","lipid_pafdw_Mean","42","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2774-1",55,2774,0,1,"Gennadas propinquus","lipidPAFDW","31.5","percent","numeric",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:377442","Gennadas propinquus Rathbun, 1906","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Gennadas propinquus","lipid_pafdw_Mean","31.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"55-2759-1",55,2759,0,1,"Eusergestes similis","lipidPAFDW","16.4","percent","numeric",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"California Current",NA,NA,"","Childress1974","Torres2022",NA,NA,"urn:lsid:marinespecies.org:taxname:514127","Eusergestes similis (Hansen, 1903)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Eusergestes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Sergestes similis","lipid_pafdw_Mean","16.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
